fecha,TRIMESTRE,IVA_TOTAL,PIB,IVA_TOTAL_interp,IVA_pct_change,PIB_pct_change,IVA_outlier
2019-10-01,2019-4,14383384.07,285090490.0,14383384.07,-0.23798829445466074,4.492899604403289,False
2020-01-01,2020-1,10512301.51,212690563.3,14137077.690417556,-26.913572919700258,-25.395419784083284,False
2020-04-01,2020-2,9512340.03,147905257.1,14935043.48170113,-9.512298320674784,-30.459887450963375,False
2020-07-01,2020-3,13516218.63,275280919.3,16493101.957642712,42.091415859531686,86.11976659753226,False
2020-10-01,2020-4,12050606.15,273637734.4,18560575.88692394,-10.843361742810165,-0.5969120214282975,False
2021-01-01,2021-1,14778852.78,272576141.5,20840099.281991653,22.6399120180357,-0.3879555947675528,False
2021-04-01,2021-2,21731308.72,308911722.0,23002472.958315134,47.04327219098261,13.33043321401628,True
2021-07-01,2021-3,24847608.5,337350432.5,24847608.5,14.340138553790705,9.206096264615038,True
2021-10-01,2021-4,26320716.64,373480930.4,26320716.64,5.928571113795522,10.710079021463814,True
2022-01-01,2022-1,28039379.71,355852754.2,28039379.71,6.529697095663889,-4.71996687518158,True
2022-04-01,2022-2,29977902.71,385582754.2,29977902.71,6.913573053503197,8.354579148006502,True
2022-07-01,2022-3,31716522.02,394807846.8,31716522.02,5.79966959936804,2.3925065370571597,True
2023-01-01,2023-1,30066804.99,389185520.8,30066804.99,-5.201443679605577,-1.4240664276483184,True
2023-04-01,2023-2,31010064.42,401857846.8,31010064.42,3.1372120526731218,3.2561144551192633,True
2023-07-01,2023-3,28930383.85,401227022.9,28930383.85,-6.706469686205185,-0.15697687752604939,True
2023-10-01,2023-4,29944319.39,415041445.0,29944319.39,3.504742782733583,3.443043791056688,True
2024-01-01,2024-1,29070624.88,409747779.4,29070624.88,-2.917730400283447,-1.2754546958557378,True
2024-04-01,2024-2,28729045.22,435304057.0,28729045.22,-1.1749993727689034,6.23707531433666,True
2024-07-01,2024-3,29740462.7,435004057.0,29740462.7,3.5205398308743474,-0.06891734528446936,True
2024-10-01,2024-4,29230304.78,451074896.6,29230304.78,-1.7153664525871637,3.6944114293628427,True
